TIMESTAMP;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Wed Jan 25 16:24:38 2023;-74;-10.55, 0;0, 0;10.55
Wed Jan 25 16:24:39 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:24:42 2023;-62;-10.55, 0;0, 0;10.55
Wed Jan 25 16:24:43 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:24:44 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:24:45 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:24:47 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:24:49 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:24:50 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:24:52 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:24:53 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:24:55 2023;-75;-10.55, 0;0, 0;10.55
Wed Jan 25 16:24:57 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:24:58 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:24:59 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:00 2023;-62;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:02 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:03 2023;-74;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:05 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:06 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:08 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:09 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:11 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:12 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:13 2023;-62;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:14 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:16 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:17 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:20 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:21 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:23 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:24 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:27 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:28 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:29 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:31 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:32 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:33 2023;-74;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:34 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:35 2023;-74;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:36 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:37 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:38 2023;-69;-10.55, 0;0, 0;10.55
Wed Jan 25 16:25:39 2023;-72;-10.55, 0;0, 0;10.55
