Timestamp;Date ISO;Rx Power [dBm]
1679668695.774365353;2023-03-24 14:38:15;-51
1679668695.896809612;2023-03-24 14:38:15;-51
1679668696.676109204;2023-03-24 14:38:16;-51
1679668696.701800464;2023-03-24 14:38:16;-52
1679668696.800600927;2023-03-24 14:38:16;-51
1679668696.820788001;2023-03-24 14:38:16;-49
1679668697.580599315;2023-03-24 14:38:17;-51
1679668697.714551704;2023-03-24 14:38:17;-49
1679668698.549414000;2023-03-24 14:38:18;-51
1679668699.213055055;2023-03-24 14:38:19;-51
1679668699.948333128;2023-03-24 14:38:19;-57
1679668700.057830499;2023-03-24 14:38:20;-51
1679668700.080322277;2023-03-24 14:38:20;-49
1679668700.126605110;2023-03-24 14:38:20;-48
1679668700.212818480;2023-03-24 14:38:20;-53
1679668700.232241073;2023-03-24 14:38:20;-53
1679668700.277194332;2023-03-24 14:38:20;-52
1679668700.718406202;2023-03-24 14:38:20;-51
1679668704.422209015;2023-03-24 14:38:24;-52
1679668704.863090126;2023-03-24 14:38:24;-51
1679668705.233201477;2023-03-24 14:38:25;-57
1679668705.779098810;2023-03-24 14:38:25;-53
1679668705.798453403;2023-03-24 14:38:25;-53
1679668705.846654903;2023-03-24 14:38:25;-52
1679668705.911617292;2023-03-24 14:38:25;-46
1679668705.934122736;2023-03-24 14:38:25;-46
1679668705.977847773;2023-03-24 14:38:25;-45
1679668706.000375662;2023-03-24 14:38:26;-47
1679668706.044142014;2023-03-24 14:38:26;-51
1679668706.063439773;2023-03-24 14:38:26;-51
1679668706.110522458;2023-03-24 14:38:26;-50
1679668709.459123475;2023-03-24 14:38:29;-51
1679668709.484143086;2023-03-24 14:38:29;-52
1679668709.529133826;2023-03-24 14:38:29;-56
1679668709.548463512;2023-03-24 14:38:29;-56
1679668710.233208641;2023-03-24 14:38:30;-51
1679668711.374410973;2023-03-24 14:38:31;-52
1679668712.022451918;2023-03-24 14:38:32;-52
1679668712.535511769;2023-03-24 14:38:32;-51
1679668713.663469120;2023-03-24 14:38:33;-51
1679668714.325430453;2023-03-24 14:38:34;-75
1679668715.261714582;2023-03-24 14:38:35;-53
1679668715.304202027;2023-03-24 14:38:35;-48
1679668715.347962916;2023-03-24 14:38:35;-47
1679668715.411121156;2023-03-24 14:38:35;-46
1679668715.480489360;2023-03-24 14:38:35;-47
1679668715.524214138;2023-03-24 14:38:35;-51
1679668715.568034656;2023-03-24 14:38:35;-51
1679668720.641799598;2023-03-24 14:38:40;-51
1679668720.683671024;2023-03-24 14:38:40;-51
1679668720.709242635;2023-03-24 14:38:40;-56
1679668721.485219671;2023-03-24 14:38:41;-52
1679668722.027919819;2023-03-24 14:38:42;-51
1679668724.708291114;2023-03-24 14:38:44;-48
1679668725.098669410;2023-03-24 14:38:45;-51
1679668725.120026576;2023-03-24 14:38:45;-73
1679668725.603308058;2023-03-24 14:38:45;-51
1679668728.583326185;2023-03-24 14:38:48;-52
1679668728.603818093;2023-03-24 14:38:48;-51
1679668729.355801852;2023-03-24 14:38:49;-51
1679668731.096009443;2023-03-24 14:38:51;-48
1679668731.118364795;2023-03-24 14:38:51;-49
1679668731.735869980;2023-03-24 14:38:51;-51
1679668731.845605498;2023-03-24 14:38:51;-49
1679668731.910596665;2023-03-24 14:38:51;-51
