Timestamp;Date ISO;POTENZA_dBm
1679667714.024909920;2023-03-24 14:21:54;-62
1679667714.320650771;2023-03-24 14:21:54;-55
1679667714.753406697;2023-03-24 14:21:54;-54
1679667715.459864197;2023-03-24 14:21:55;-52
1679667715.482557863;2023-03-24 14:21:55;-52
1679667718.705914843;2023-03-24 14:21:58;-56
1679667719.834933990;2023-03-24 14:21:59;-57
1679667719.854713768;2023-03-24 14:21:59;-57
1679667720.094816620;2023-03-24 14:22:00;-54
1679667720.131188694;2023-03-24 14:22:00;-56
1679667721.302501027;2023-03-24 14:22:01;-57
1679667722.150112137;2023-03-24 14:22:02;-58
1679667722.334111970;2023-03-24 14:22:02;-54
1679667722.882533896;2023-03-24 14:22:02;-57
1679667723.082188785;2023-03-24 14:22:03;-54
1679667723.678499099;2023-03-24 14:22:03;-57
1679667723.766007544;2023-03-24 14:22:03;-56
1679667723.785304229;2023-03-24 14:22:03;-58
1679667723.809733673;2023-03-24 14:22:03;-55
1679667723.854718766;2023-03-24 14:22:03;-59
1679667723.874233414;2023-03-24 14:22:03;-60
1679667724.757514358;2023-03-24 14:22:04;17
1679667724.777683376;2023-03-24 14:22:04;-59
1679667725.137495413;2023-03-24 14:22:05;-50
1679667725.157893672;2023-03-24 14:22:05;-50
1679667725.454985246;2023-03-24 14:22:05;-56
1679667728.403130337;2023-03-24 14:22:08;-57
1679667728.424154948;2023-03-24 14:22:08;-57
1679667728.895360633;2023-03-24 14:22:08;-57
1679667729.231782022;2023-03-24 14:22:09;-57
1679667729.394111985;2023-03-24 14:22:09;-62
1679667730.031911318;2023-03-24 14:22:10;-57
1679667730.053810707;2023-03-24 14:22:10;-57
1679667730.541645743;2023-03-24 14:22:10;-57
1679667730.563789558;2023-03-24 14:22:10;-54
1679667731.152597836;2023-03-24 14:22:11;-71
1679667731.171896558;2023-03-24 14:22:11;-57
1679667731.427132095;2023-03-24 14:22:11;-54
1679667731.452692206;2023-03-24 14:22:11;-54
1679667731.906558428;2023-03-24 14:22:11;-56
1679667732.262877890;2023-03-24 14:22:12;-57
1679667732.700081279;2023-03-24 14:22:12;-57
1679667733.092758501;2023-03-24 14:22:13;-57
1679667733.507546649;2023-03-24 14:22:13;-58
1679667733.526344019;2023-03-24 14:22:13;-58
1679667733.775862445;2023-03-24 14:22:13;-60
1679667734.173868926;2023-03-24 14:22:14;-54
1679667734.193591611;2023-03-24 14:22:14;-54
1679667734.460159259;2023-03-24 14:22:14;-56
1679667734.480259389;2023-03-24 14:22:14;-52
1679667734.865086741;2023-03-24 14:22:14;-57
1679667734.884577315;2023-03-24 14:22:14;-57
1679667737.913847461;2023-03-24 14:22:17;-56
1679667737.933808887;2023-03-24 14:22:17;-57
1679667738.300473183;2023-03-24 14:22:18;-57
1679667739.541764719;2023-03-24 14:22:19;-57
1679667739.561745293;2023-03-24 14:22:19;-75
1679667739.952626812;2023-03-24 14:22:19;-56
1679667740.351650552;2023-03-24 14:22:20;-57
1679667740.597423811;2023-03-24 14:22:20;-56
1679667740.667452052;2023-03-24 14:22:20;-62
1679667741.707681292;2023-03-24 14:22:21;-57
1679667741.727925718;2023-03-24 14:22:21;-57
1679667742.752014884;2023-03-24 14:22:22;-57
1679667743.014506773;2023-03-24 14:22:23;-56
1679667743.040389328;2023-03-24 14:22:23;-55
1679667743.407680328;2023-03-24 14:22:23;17
1679667744.060200828;2023-03-24 14:22:24;-58
1679667744.338917494;2023-03-24 14:22:24;-50
1679667744.359058254;2023-03-24 14:22:24;-51
1679667744.491479457;2023-03-24 14:22:24;-51
1679667744.511929920;2023-03-24 14:22:24;-52
1679667749.062518640;2023-03-24 14:22:29;-55
1679667749.106177251;2023-03-24 14:22:29;-56
1679667749.149983177;2023-03-24 14:22:29;-62
1679667750.471797787;2023-03-24 14:22:30;-57
1679667750.492728361;2023-03-24 14:22:30;-57
1679667751.076510287;2023-03-24 14:22:31;-57
1679667751.095268453;2023-03-24 14:22:31;-57
1679667752.265275286;2023-03-24 14:22:32;-73
1679667752.825610934;2023-03-24 14:22:32;-57
1679667753.795927822;2023-03-24 14:22:33;-59
1679667754.167780285;2023-03-24 14:22:34;-50
1679667758.067639801;2023-03-24 14:22:38;-58
1679667758.737811097;2023-03-24 14:22:38;-57
1679667759.314059282;2023-03-24 14:22:39;-57
1679667759.863278911;2023-03-24 14:22:39;-57
1679667760.274024522;2023-03-24 14:22:40;-57
1679667760.297704503;2023-03-24 14:22:40;-56
1679667760.361355411;2023-03-24 14:22:40;-62
1679667760.910311799;2023-03-24 14:22:40;-55
1679667760.930840355;2023-03-24 14:22:40;-57
1679667762.368904058;2023-03-24 14:22:42;-56
1679667763.911947297;2023-03-24 14:22:43;-57
1679667763.932841927;2023-03-24 14:22:43;-56
1679667767.222914407;2023-03-24 14:22:47;-85
1679667767.245368481;2023-03-24 14:22:47;-57
1679667767.982464147;2023-03-24 14:22:47;-57
