TIMESTAMP;DATA_ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1678964373.341462495;2023-03-16 10:59:33;17;-5.4, -15;4.6, 0;18.02775638
1678964377.409854159;2023-03-16 10:59:37;-66;-5.4, -15;4.6, 0;18.02775638
1678964378.486494659;2023-03-16 10:59:38;-67;-5.4, -15;4.6, 0;18.02775638
1678964378.506456659;2023-03-16 10:59:38;-67;-5.4, -15;4.6, 0;18.02775638
1678964379.278379066;2023-03-16 10:59:39;-66;-5.4, -15;4.6, 0;18.02775638
1678964379.406347973;2023-03-16 10:59:39;-65;-5.4, -15;4.6, 0;18.02775638
1678964380.084153584;2023-03-16 10:59:40;-66;-5.4, -15;4.6, 0;18.02775638
1678964380.214024213;2023-03-16 10:59:40;-66;-5.4, -15;4.6, 0;18.02775638
1678964380.874950917;2023-03-16 10:59:40;-65;-5.4, -15;4.6, 0;18.02775638
1678964381.027984342;2023-03-16 10:59:41;-64;-5.4, -15;4.6, 0;18.02775638
1678964381.047947917;2023-03-16 10:59:41;-64;-5.4, -15;4.6, 0;18.02775638
1678964381.698270324;2023-03-16 10:59:41;-65;-5.4, -15;4.6, 0;18.02775638
1678964381.750717564;2023-03-16 10:59:41;-66;-5.4, -15;4.6, 0;18.02775638
1678964381.818811805;2023-03-16 10:59:41;-72;-5.4, -15;4.6, 0;18.02775638
1678964382.497356601;2023-03-16 10:59:42;-67;-5.4, -15;4.6, 0;18.02775638
1678964382.730283656;2023-03-16 10:59:42;-73;-5.4, -15;4.6, 0;18.02775638
1678964382.944757786;2023-03-16 10:59:42;17;-5.4, -15;4.6, 0;18.02775638
1678964383.160880767;2023-03-16 10:59:43;17;-5.4, -15;4.6, 0;18.02775638
1678964384.145912544;2023-03-16 10:59:44;-63;-5.4, -15;4.6, 0;18.02775638
1678964384.172113118;2023-03-16 10:59:44;-65;-5.4, -15;4.6, 0;18.02775638
1678964387.387742079;2023-03-16 10:59:47;-68;-5.4, -15;4.6, 0;18.02775638
1678964388.412930542;2023-03-16 10:59:48;-66;-5.4, -15;4.6, 0;18.02775638
1678964388.434072116;2023-03-16 10:59:48;-63;-5.4, -15;4.6, 0;18.02775638
1678964388.736807208;2023-03-16 10:59:48;-66;-5.4, -15;4.6, 0;18.02775638
1678964388.756972467;2023-03-16 10:59:48;-65;-5.4, -15;4.6, 0;18.02775638
