Timestamp;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Wed Jan 25 17:13:43 2023;-63;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:45 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:48 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:49 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:51 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:53 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:55 2023;-65;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:56 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:58 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:00 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:01 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:03 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:05 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:06 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:07 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:09 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:10 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:11 2023;-64;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:13 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:14 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:15 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:16 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:17 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:18 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:19 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:20 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:22 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:23 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:24 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:25 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:27 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:28 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:29 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:30 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:14:31 2023;-60;-10.55, -7.5;0, 0;12.944
